census_NAME,census_B01001_001E,census_B19013_001E,zcta,census_S2701_C03_001E,census_S2701_C05_001E,cdc_totalpopulation,cdc_access2_crudeprev,cdc_checkup_crudeprev,cdc_dental_crudeprev,cdc_arthritis_crudeprev,cdc_bphigh_crudeprev,cdc_cancer_crudeprev,cdc_casthma_crudeprev,cdc_chd_crudeprev,cdc_copd_crudeprev,cdc_depression_crudeprev,cdc_diabetes_crudeprev,cdc_highchol_crudeprev,cdc_kidney_crudeprev,cdc_obesity_crudeprev,cdc_stroke_crudeprev,cdc_ghlth_crudeprev,cdc_mhlth_crudeprev,cdc_phlth_crudeprev,npi_total_providers,npi_individual_providers,npi_organization_providers
ZCTA5 85003,10155,56672,85003,90.6,9.4,9369,16.6,65.0,57.4,17.5,25.4,4.5,10.0,4.7,5.1,18.8,9.7,30.0,2.7,31.8,2.5,17.2,18.1,10.9,137.0,96.0,41.0
ZCTA5 85004,11178,71250,85004,87.3,12.7,4965,16.4,65.5,56.1,17.3,24.8,4.6,11.0,4.6,5.3,21.3,9.0,29.5,2.7,31.3,2.4,17.3,20.8,11.0,181.0,122.0,59.0
ZCTA5 85006,22081,60742,85006,76.0,24.0,25742,28.5,64.4,45.7,19.2,28.2,4.3,11.2,5.6,6.7,20.8,13.0,31.9,3.4,37.6,3.1,25.7,20.9,14.8,243.0,179.0,64.0
ZCTA5 85007,13555,55833,85007,85.0,15.0,14040,23.3,67.2,47.7,22.5,32.7,5.3,11.2,6.7,7.7,20.0,14.5,34.6,3.7,37.8,3.7,25.3,20.0,15.1,167.0,115.0,52.0
ZCTA5 85008,60499,61369,85008,75.1,24.9,56145,23.5,63.9,50.2,16.5,24.7,3.9,10.9,4.4,5.3,20.5,10.0,28.8,2.7,35.1,2.5,20.5,20.6,12.3,199.0,138.0,61.0
ZCTA5 85009,52116,51615,85009,75.4,24.6,52520,36.3,62.5,38.6,17.5,27.5,3.6,11.3,5.5,6.6,20.9,13.3,31.4,3.3,39.0,3.1,29.4,22.9,15.8,171.0,126.0,45.0
ZCTA5 85012,8880,80242,85012,86.6,13.4,6390,8.0,70.2,69.2,22.5,28.6,7.6,9.3,5.6,4.8,17.7,8.6,34.1,3.1,28.0,2.7,11.4,14.1,9.0,217.0,147.0,70.0
ZCTA5 85013,20947,68895,85013,87.9,12.1,19314,11.1,68.4,63.2,21.7,28.2,6.3,10.0,5.2,5.5,19.1,9.4,33.0,3.0,31.1,2.7,14.4,16.3,10.5,228.0,179.0,49.0
ZCTA5 85014,26215,69995,85014,89.3,10.7,24782,12.6,67.2,61.7,20.4,26.9,5.7,10.3,4.8,5.4,19.7,9.0,31.7,2.8,31.8,2.5,14.7,17.1,10.5,170.0,112.0,58.0
ZCTA5 85015,42444,52585,85015,83.9,16.1,37644,23.1,65.8,47.7,20.8,29.3,5.0,11.4,5.7,7.2,21.1,12.0,32.3,3.3,36.3,3.2,23.2,21.0,14.2,179.0,105.0,74.0
ZCTA5 85016,36857,85085,85016,89.0,11.0,33896,13.2,68.0,62.3,21.6,27.8,6.5,10.1,5.2,5.5,19.3,9.3,33.0,3.0,30.7,2.7,15.0,16.6,10.6,233.0,159.0,74.0
ZCTA5 85017,44336,51737,85017,74.9,25.1,38872,30.2,63.8,41.4,18.9,28.2,4.0,11.6,5.5,7.2,21.5,12.6,31.4,3.2,38.2,3.1,26.9,22.7,15.3,172.0,107.0,65.0
ZCTA5 85018,38268,87637,85018,90.2,9.8,36065,9.5,69.3,67.5,22.4,27.8,7.1,9.7,5.2,5.2,18.9,8.6,33.6,2.9,29.2,2.6,12.6,15.1,9.7,88.0,51.0,37.0
ZCTA5 85019,26974,58767,85019,77.3,22.7,25042,31.3,64.7,41.9,20.6,29.7,4.6,11.6,6.2,7.6,21.3,13.7,33.1,3.6,38.2,3.4,27.8,22.0,15.9,161.0,121.0,40.0
ZCTA5 85020,33934,78412,85020,91.6,8.4,32850,12.0,69.7,63.4,24.3,30.1,7.4,10.1,5.9,6.3,19.4,10.0,35.2,3.3,30.9,3.0,15.3,16.1,11.2,182.0,100.0,82.0
ZCTA5 85021,40026,58481,85021,84.2,15.8,37743,17.2,67.7,55.8,22.1,29.2,6.3,10.7,5.7,6.6,20.2,10.4,33.2,3.2,32.9,3.0,18.6,18.9,12.3,164.0,110.0,54.0
ZCTA5 85022,52488,66601,85022,88.9,11.1,46395,10.6,68.2,63.1,22.6,27.8,6.6,10.4,5.2,6.0,20.7,8.8,33.4,2.9,30.3,2.7,14.2,17.4,10.7,161.0,98.0,63.0
ZCTA5 85023,34635,72442,85023,87.2,12.8,31274,12.6,67.2,60.9,21.5,27.2,6.0,10.4,5.0,5.9,20.7,9.0,32.7,2.8,31.3,2.6,15.0,17.9,11.0,95.0,44.0,51.0
ZCTA5 85024,25674,97759,85024,90.9,9.1,22898,8.0,66.1,67.9,18.6,22.9,5.5,10.0,3.7,4.4,20.7,6.6,29.6,2.3,28.4,2.0,10.7,16.7,8.7,114.0,67.0,47.0
ZCTA5 85026,0,-666666666,85026,-666666666.0,-666666666.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
ZCTA5 85027,38986,73255,85027,90.1,9.9,37140,10.3,65.3,63.3,18.6,23.7,5.2,10.1,4.0,4.9,20.6,7.2,29.8,2.4,29.3,2.1,12.5,17.7,9.5,212.0,139.0,73.0
