zcta,census_B01001_001E,census_B19013_001E,census_S2701_C03_001E,census_S2701_C05_001E,cdc_totalpopulation,cdc_access2_crudeprev,cdc_checkup_crudeprev,cdc_dental_crudeprev,cdc_arthritis_crudeprev,cdc_bphigh_crudeprev,cdc_cancer_crudeprev,cdc_casthma_crudeprev,cdc_chd_crudeprev,cdc_copd_crudeprev,cdc_depression_crudeprev,cdc_diabetes_crudeprev,cdc_highchol_crudeprev,cdc_kidney_crudeprev,cdc_obesity_crudeprev,cdc_stroke_crudeprev,cdc_ghlth_crudeprev,cdc_mhlth_crudeprev,cdc_phlth_crudeprev,npi_total_providers,npi_individual_providers,npi_organization_providers,Z_census_B01001_001E,Z_census_B19013_001E,Z_census_S2701_C03_001E,Z_census_S2701_C05_001E,Z_cdc_arthritis_crudeprev,Z_cdc_bphigh_crudeprev,Z_cdc_cancer_crudeprev,Z_cdc_casthma_crudeprev,Z_cdc_chd_crudeprev,Z_cdc_copd_crudeprev,Z_cdc_depression_crudeprev,Z_cdc_diabetes_crudeprev,Z_cdc_highchol_crudeprev,Z_cdc_kidney_crudeprev,Z_cdc_obesity_crudeprev,Z_cdc_stroke_crudeprev,Z_cdc_ghlth_crudeprev,Z_cdc_mhlth_crudeprev,Z_cdc_phlth_crudeprev,Z_cdc_access2_crudeprev,Z_cdc_checkup_crudeprev,Z_cdc_dental_crudeprev,Z_npi_total_providers,Z_npi_individual_providers,Z_npi_organization_providers
85003,10155,56672,90.6,9.4,9369,16.6,65.0,57.4,17.5,25.4,4.5,10.0,4.7,5.1,18.8,9.7,30.0,2.7,31.8,2.5,17.2,18.1,10.9,137.0,96.0,41.0,0.091492,0.068657,0.70318,0.29682,0.171831,0.218487,0.115385,0.274194,0.176,0.222222,0.470588,0.364341,0.260563,0.173077,0.450617,0.2,0.391667,0.54386,0.308271,0.395706,0.138528,0.485788,0.486692,0.525714,0.327586
85004,11178,71250,87.3,12.7,4965,16.4,65.5,56.1,17.3,24.8,4.6,11.0,4.6,5.3,21.3,9.0,29.5,2.7,31.3,2.4,17.3,20.8,11.0,181.0,122.0,59.0,0.103555,0.17686,0.586572,0.413428,0.166197,0.201681,0.121795,0.435484,0.168,0.244444,0.715686,0.310078,0.242958,0.173077,0.419753,0.181818,0.395833,0.701754,0.315789,0.389571,0.160173,0.452196,0.653992,0.674286,0.482759
85006,22081,60742,76.0,24.0,25742,28.5,64.4,45.7,19.2,28.2,4.3,11.2,5.6,6.7,20.8,13.0,31.9,3.4,37.6,3.1,25.7,20.9,14.8,243.0,179.0,64.0,0.232121,0.098866,0.187279,0.812721,0.219718,0.296919,0.102564,0.467742,0.248,0.4,0.666667,0.620155,0.327465,0.307692,0.808642,0.309091,0.745833,0.707602,0.601504,0.760736,0.112554,0.183463,0.889734,1.0,0.525862
85007,13555,55833,85.0,15.0,14040,23.3,67.2,47.7,22.5,32.7,5.3,11.2,6.7,7.7,20.0,14.5,34.6,3.7,37.8,3.7,25.3,20.0,15.1,167.0,115.0,52.0,0.131584,0.062429,0.5053,0.4947,0.312676,0.422969,0.166667,0.467742,0.336,0.511111,0.588235,0.736434,0.422535,0.365385,0.820988,0.418182,0.729167,0.654971,0.62406,0.601227,0.233766,0.235142,0.60076,0.634286,0.422414
85008,60499,61369,75.1,24.9,56145,23.5,63.9,50.2,16.5,24.7,3.9,10.9,4.4,5.3,20.5,10.0,28.8,2.7,35.1,2.5,20.5,20.6,12.3,199.0,138.0,61.0,0.685136,0.10352,0.155477,0.844523,0.143662,0.19888,0.076923,0.419355,0.152,0.244444,0.637255,0.387597,0.21831,0.173077,0.654321,0.2,0.529167,0.690058,0.413534,0.607362,0.090909,0.299742,0.722433,0.765714,0.5
85009,52116,51615,75.4,24.6,52520,36.3,62.5,38.6,17.5,27.5,3.6,11.3,5.5,6.6,20.9,13.3,31.4,3.3,39.0,3.1,29.4,22.9,15.8,171.0,126.0,45.0,0.586286,0.031122,0.166078,0.833922,0.171831,0.277311,0.057692,0.483871,0.24,0.388889,0.676471,0.643411,0.309859,0.288462,0.895062,0.309091,0.9,0.824561,0.676692,1.0,0.030303,0.0,0.61597,0.697143,0.362069
85012,8880,80242,86.6,13.4,6390,8.0,70.2,69.2,22.5,28.6,7.6,9.3,5.6,4.8,17.7,8.6,34.1,3.1,28.0,2.7,11.4,14.1,9.0,217.0,147.0,70.0,0.076458,0.243602,0.561837,0.438163,0.312676,0.308123,0.314103,0.16129,0.248,0.188889,0.362745,0.27907,0.40493,0.25,0.216049,0.236364,0.15,0.309942,0.165414,0.131902,0.363636,0.790698,0.790875,0.817143,0.577586
85013,20947,68895,87.9,12.1,19314,11.1,68.4,63.2,21.7,28.2,6.3,10.0,5.2,5.5,19.1,9.4,33.0,3.0,31.1,2.7,14.4,16.3,10.5,228.0,179.0,49.0,0.218749,0.15938,0.607774,0.392226,0.290141,0.296919,0.230769,0.274194,0.216,0.266667,0.5,0.341085,0.366197,0.230769,0.407407,0.236364,0.275,0.438596,0.278195,0.226994,0.285714,0.635659,0.8327,1.0,0.396552
85014,26215,69995,89.3,10.7,24782,12.6,67.2,61.7,20.4,26.9,5.7,10.3,4.8,5.4,19.7,9.0,31.7,2.8,31.8,2.5,14.7,17.1,10.5,170.0,112.0,58.0,0.280868,0.167545,0.657244,0.342756,0.253521,0.260504,0.192308,0.322581,0.184,0.255556,0.558824,0.310078,0.320423,0.192308,0.450617,0.2,0.2875,0.48538,0.278195,0.273006,0.233766,0.596899,0.612167,0.617143,0.474138
85015,42444,52585,83.9,16.1,37644,23.1,65.8,47.7,20.8,29.3,5.0,11.4,5.7,7.2,21.1,12.0,32.3,3.3,36.3,3.2,23.2,21.0,14.2,179.0,105.0,74.0,0.472236,0.038322,0.466431,0.533569,0.264789,0.327731,0.147436,0.5,0.256,0.455556,0.696078,0.542636,0.341549,0.288462,0.728395,0.327273,0.641667,0.71345,0.556391,0.595092,0.17316,0.235142,0.646388,0.577143,0.612069
